Date,Year,Quaer,MonthNumber,MonthName,Week,Day,DayName
28-04-2021,2021,Q2,4,April,18,28,Wednesday
29-04-2021,2021,Q2,4,April,18,29,Thursday
30-04-2021,2021,Q2,4,April,18,30,Friday
01-05-2021,2021,Q2,5,May,18,1,Saturday
02-05-2021,2021,Q2,5,May,18,2,Sunday
03-05-2021,2021,Q2,5,May,19,3,Monday
04-05-2021,2021,Q2,5,May,19,4,Tuesday
05-05-2021,2021,Q2,5,May,19,5,Wednesday
06-05-2021,2021,Q2,5,May,19,6,Thursday
07-05-2021,2021,Q2,5,May,19,7,Friday
08-05-2021,2021,Q2,5,May,19,8,Saturday
09-05-2021,2021,Q2,5,May,19,9,Sunday
10-05-2021,2021,Q2,5,May,20,10,Monday
11-05-2021,2021,Q2,5,May,20,11,Tuesday
12-05-2021,2021,Q2,5,May,20,12,Wednesday
13-05-2021,2021,Q2,5,May,20,13,Thursday
14-05-2021,2021,Q2,5,May,20,14,Friday
15-05-2021,2021,Q2,5,May,20,15,Saturday
16-05-2021,2021,Q2,5,May,20,16,Sunday
17-05-2021,2021,Q2,5,May,21,17,Monday
18-05-2021,2021,Q2,5,May,21,18,Tuesday
19-05-2021,2021,Q2,5,May,21,19,Wednesday
20-05-2021,2021,Q2,5,May,21,20,Thursday
21-05-2021,2021,Q2,5,May,21,21,Friday
22-05-2021,2021,Q2,5,May,21,22,Saturday
23-05-2021,2021,Q2,5,May,21,23,Sunday
24-05-2021,2021,Q2,5,May,22,24,Monday
25-05-2021,2021,Q2,5,May,22,25,Tuesday
26-05-2021,2021,Q2,5,May,22,26,Wednesday
27-05-2021,2021,Q2,5,May,22,27,Thursday
28-05-2021,2021,Q2,5,May,22,28,Friday
29-05-2021,2021,Q2,5,May,22,29,Saturday
30-05-2021,2021,Q2,5,May,22,30,Sunday
31-05-2021,2021,Q2,5,May,23,31,Monday
01-06-2021,2021,Q2,6,June,23,1,Tuesday
02-06-2021,2021,Q2,6,June,23,2,Wednesday
03-06-2021,2021,Q2,6,June,23,3,Thursday
04-06-2021,2021,Q2,6,June,23,4,Friday
05-06-2021,2021,Q2,6,June,23,5,Saturday
06-06-2021,2021,Q2,6,June,23,6,Sunday
07-06-2021,2021,Q2,6,June,24,7,Monday
08-06-2021,2021,Q2,6,June,24,8,Tuesday
